Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_003587695.1	ASM358769v1	Listeria monocytogenes		N13-1407					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-21	QYDT01		SAMN09947998
GCF_005885835.1	ASM588583v1	Salmonella enterica subsp. enterica serovar Typhi		WGS1146					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-29		2.0	SAMN11792777
GCF_030186505.1	ASM3018650v1	Pseudomonas aeruginosa		CPO102					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-06	JARTSZ01		SAMN32721572
GCF_000807575.1	ASM80757v1	Escherichia coli		GSK2522					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-12-23	JTDS01		SAMN03169697
GCF_003238105.1	ASM323810v1	Staphylococcus aureus		CM130					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-18	PZSD01		SAMN08717731
GCF_017896805.1	ASM1789680v1	Escherichia coli		IVRI108					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-04-10	JAGJVZ01		SAMN18607595
GCF_023655985.1	ASM2365598v1	Staphylococcus aureus		SA369					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-06-06	JAGSBU01	30.0	SAMN18652529
GCF_018439635.1	ASM1843963v1	Escherichia coli		NRZ-33411					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-05-21	JAFHND01	345.0	SAMN17371809
GCF_016680155.1	ASM1668015v1	Klebsiella pneumoniae		CRKP14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-01-18	JAEQLB01	254.0	SAMN17166560
GCF_008754295.1	ASM875429v1	Listeria monocytogenes		ICDC_LM1233					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-30	QDBI01		SAMN08934488
GCF_031000905.1	ASM3100090v1	Salmonella enterica subsp. enterica serovar Agona		18-SA00690-0					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-08-30	JAVGBN01		SAMN37123643
GCF_003337975.1	ASM333797v1	Escherichia coli		AVC209					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-07-24	QOFM01		SAMN09580027
GCF_022758365.1	ASM2275836v1	Escherichia coli		SMG008F11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-29	JALEBI01	151.0	SAMN23404509
