Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_000196555.1	ASM19655v1	Bifidobacterium longum subsp. longum JCM 1217		JCM 1217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-01-28		1.0	SAMD00060951
GCF_001888925.1	ASM188892v1	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046		DSM 26046					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-05		1.0	SAMN06066887
GCF_016026695.1	ASM1602669v1	Lactococcus garvieae		FDAARGOS_929					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14		2.0	SAMN13450459
GCF_000829055.1	ASM82905v1	Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393		ATCC 393					GCF_000829055.1-RS_2024_03_28	Complete Genome	2013-08-14		3.0	SAMD00061035
GCF_016127255.1	ASM1612725v1	Leuconostoc pseudomesenteroides		FDAARGOS_1003					GCF_016127255.1-RS_2024_04_15	Complete Genome	2020-12-20		1.0	SAMN16357172
GCF_000155515.2	ASM15551v2	Lacticaseibacillus paracasei subsp. paracasei 8700:2		362.5013889					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-08-21		3.0	SAMN02463682
GCF_003176835.1	ASM317683v1	Lactococcus lactis subsp. lactis		14B4					GCF_003176835.1-RS_2024_03_28	Complete Genome	2018-05-30		2.0	SAMN08792430
GCF_006151905.1	ASM615190v1	Lacticaseibacillus rhamnosus		1.0320					GCF_006151905.1-RS_2024_03_28	Complete Genome	2019-06-09		1.0	SAMN11896630
GCF_903886475.1	Streptococcus_thermophilus_CIRM_65	Streptococcus thermophilus					STH_CIRM_65		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-10		2.0	SAMEA6957296
GCF_009913915.1	ASM991391v1	Leuconostoc mesenteroides		SRCM102733					GCF_009913915.1-RS_2024_04_15	Complete Genome	2020-01-22		3.0	SAMN08707608
